admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,main_first_language,main_first_language_share,main_second_language,main_second_language_share,Ukrainian,Russian,Belarusian,Romanian,Bulgarian,Hungarian,Azeri,Armenian,Georgian,Gagauz,Crimean Tatar,Tatar,Romani,German,Polish,English,French,Other,Ukrainian L1,Russian L1,Belarusian L1,Romanian L1,Azeri L1,Armenian L1,Georgian L1,Bulgarian L1,Gagauz L1,Crimean Tatar L1,Tatar L1,Hungarian L1,Romani L1,Other L1,None L2,Ukrainian L2,Russian L2,Belarussian L2,Romanian L2,Bulgarian L2,German L2,Polish L2,Hungarian L2,English L2,French L2,Other L2,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
The Autonomous Republic of Crimea,804001,Ukraine,UA,15,Russian,0.952,Russian,0.767,Ukrainian,0.284,0.386,0.952,0.005,0.001,0.002,0.000,0.001,0.002,0.001,0.000,0.114,0.005,0.005,0.006,0.001,0.024,0.001,0.015,0.102,0.767,0.003,0.001,0.001,0.002,0.001,0.000,0.000,0.114,0.005,0.000,0.001,0.005,0.486,0.284,0.185,0.002,0.000,0.000,0.006,0.001,0.000,0.024,0.001,0.010," 2,065,130 "," 951,500 "," 1,113,630 ",0.996,0.998,0.995,Yes,Medium,
Vinnytska oblast,804005,Ukraine,UA,8,Ukrainian,0.989,Ukrainian,0.948,Russian,0.433,0.989,0.481,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.005,0.000,0.003,0.948,0.048,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.515,0.041,0.433,0.000,0.001,0.000,0.001,0.001,0.000,0.005,0.000,0.002," 1,790,550 "," 821,140 "," 969,410 ",0.992,0.996,0.989,Yes,Medium,
Volynska oblast,804007,Ukraine,UA,8,Ukrainian,0.994,Ukrainian,0.973,Russian,0.375,0.994,0.400,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.011,0.009,0.000,0.002,0.973,0.025,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.578,0.022,0.375,0.001,0.000,0.000,0.003,0.011,0.000,0.009,0.000,0.002," 1,072,950 "," 505,330 "," 567,620 ",0.989,0.995,0.983,Yes,Medium,
Dnipropetrovska oblast,804012,Ukraine,UA,12,Ukrainian,0.918,Ukrainian,0.671,Russian,0.470,0.918,0.791,0.003,0.001,0.001,0.000,0.001,0.002,0.000,0.000,0.000,0.000,0.001,0.003,0.001,0.011,0.001,0.005,0.671,0.321,0.002,0.001,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.263,0.247,0.470,0.001,0.001,0.000,0.003,0.001,0.000,0.011,0.001,0.003," 3,608,850 "," 1,664,170 "," 1,944,680 ",0.996,0.997,0.996,Yes,Medium,
Donetska oblast,804014,Ukraine,UA,13,Russian,0.935,Russian,0.751,Ukrainian,0.482,0.723,0.935,0.003,0.001,0.002,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.002,0.003,0.000,0.015,0.001,0.010,0.241,0.751,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.002,0.304,0.482,0.184,0.001,0.000,0.000,0.003,0.000,0.000,0.015,0.001,0.008," 4,884,260 "," 2,240,520 "," 2,643,740 ",0.994,0.996,0.993,Yes,Medium,
Zhytomyrska oblast,804018,Ukraine,UA,9,Ukrainian,0.985,Ukrainian,0.931,Russian,0.491,0.985,0.556,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.007,0.000,0.003,0.931,0.065,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.439,0.054,0.491,0.001,0.000,0.000,0.002,0.004,0.000,0.007,0.000,0.001," 1,406,170 "," 653,670 "," 752,500 ",0.991,0.996,0.987,Yes,Medium,
Zakarpatska oblast,804021,Ukraine,UA,10,Ukrainian,0.911,Ukrainian,0.809,Russian,0.262,0.911,0.292,0.001,0.026,0.000,0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.003,0.001,0.005,0.001,0.012,0.809,0.029,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.127,0.003,0.004,0.590,0.102,0.262,0.000,0.000,0.000,0.003,0.001,0.028,0.005,0.001,0.008," 1,259,280 "," 605,630 "," 653,650 ",0.993,0.995,0.991,Yes,Medium,
Zaporizka oblast,804023,Ukraine,UA,14,Ukrainian,0.864,Ukrainian,0.501,Russian,0.375,0.864,0.858,0.002,0.001,0.006,0.000,0.001,0.002,0.002,0.000,0.000,0.001,0.002,0.005,0.001,0.016,0.001,0.007,0.501,0.483,0.001,0.001,0.001,0.002,0.002,0.005,0.000,0.000,0.001,0.000,0.000,0.002,0.227,0.363,0.375,0.001,0.000,0.005,0.005,0.001,0.000,0.016,0.001,0.005," 1,949,960 "," 895,770 "," 1,054,190 ",0.996,0.998,0.994,Yes,Medium,
Ivano-Frankivska oblast,804026,Ukraine,UA,8,Ukrainian,0.997,Ukrainian,0.980,Russian,0.213,0.997,0.231,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.009,0.012,0.001,0.003,0.980,0.018,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.740,0.017,0.213,0.000,0.000,0.000,0.005,0.009,0.000,0.012,0.001,0.002," 1,420,940 "," 670,700 "," 750,240 ",0.987,0.994,0.981,Yes,Medium,
Kyivska oblast,804032,Ukraine,UA,10,Ukrainian,0.980,Ukrainian,0.922,Russian,0.451,0.980,0.523,0.002,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.007,0.000,0.003,0.922,0.073,0.002,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.479,0.058,0.451,0.001,0.000,0.000,0.002,0.001,0.000,0.007,0.000,0.002," 1,836,790 "," 850,230 "," 986,560 ",0.995,0.998,0.993,Yes,Medium,
