admin2_name,admin2_pcode,admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,main_first_language,main_first_language_share,main_second_language,main_second_language_share,Ukrainian,Russian,Belarusian,Romanian,Bulgarian,Hungarian,Azeri,Armenian,Georgian,Gagauz,Crimean Tatar,Tatar,Romani,German,Polish,English,French,Other,Ukrainian L1,Russian L1,Belarusian L1,Romanian L1,Azeri L1,Armenian L1,Georgian L1,Bulgarian L1,Gagauz L1,Crimean Tatar L1,Tatar L1,Hungarian L1,Romani L1,Other L1,None L2,Ukrainian L2,Russian L2,Belarussian L2,Romanian L2,Bulgarian L2,German L2,Polish L2,Hungarian L2,English L2,French L2,Other L2,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#adm2+name,#adm2+code,#adm1+name,#adm1+code,#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+first+lang+main,#indicator+first+lang+main+pct,#indicator+second+lang+main,#indicator+second+lang+main+pct,#indicator+lang+pct+iso639-3_ukr,#indicator+lang+pct+iso639-3_rus,#indicator+lang+pct+iso639-3_bel,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_bul,#indicator+lang+pct+iso639-3_hun,#indicator+lang+pct+iso639-3_azj,#indicator+lang+pct+iso639-3_hyw,#indicator+lang+pct+iso639-3_kat,#indicator+ang+pct+iso639-3_gag,#indicator+lang+pct+iso639-3_crh,#indicator+lang+pct+iso639-3_tat,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_deu,#indicator+lang+pct+iso639-3_pol,#indicator+lang+pct+iso639-3_eng,#indicator+lang+pct+iso639-3_fra,#indicator+lang+pct+iso639-3_unknown,#indicator+lang+pct+iso639-3_ukr,#indicator+first+lang+pct+iso639-3_rus,#indicator+first+lang+pct+iso639-3_bel,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_azj,#indicator+first+lang+pct+iso639-3_hyw,#indicator+first+lang+pct+iso639-3_kat,#indicator+first+lang+pct+iso639-3_bul,#indicator+first+ang+pct+iso639-3_gag,#indicator+first+lang+pct+iso639-3_crh,#indicator+first+lang+pct+iso639-3_tat,#indicator+first+lang+pct+iso639-3_hun,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_unknown,#indicator+second+lang+pct+none,#indicator+second+lang+pct+iso639-3_ukr,#indicator+second+lang+pct+iso639-3_rus,#indicator+second+lang+pct+iso639-3_bel,#indicator+second+lang+pct+iso639-3_ron,#indicator+second+lang+pct+iso639-3_bul,#indicator+second+lang+pct+iso639-3_deu,#indicator+second+lang+pct+iso639-3_pol,#indicator+second+lang+pct+iso639-3_hun,#indicator+second+lang+pct+iso639-3_eng,#indicator+second+lang+pct+iso639-3_fra,#indicator+second+lang+pct+iso639-3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age12up,#population+m+pct+literate+age12up,#population+f+pct+literate+age12up,#meta+data+bool,#meta+confidence,#meta+text
Simferopol municipality,804001001,The Autonomous Republic of Crimea,804001,Ukraine,UA,14,Russian,0.964,Russian,0.854,Ukrainian,0.286,0.350,0.964,0.003,0.001,0.002,0.000,0.002,0.003,0.001,0.000,0.065,0.002,0.000,0.010,0.001,0.053,0.003,0.018,0.064,0.854,0.001,0.000,0.002,0.003,0.001,0.000,0.000,0.065,0.002,0.000,0.000,0.007,0.524,0.286,0.110,0.002,0.000,0.000,0.010,0.001,0.000,0.053,0.003,0.011,367490,163750,203740,0.999,0.999,0.999,Yes,Medium,
Kerch city,804001002,The Autonomous Republic of Crimea,804001,Ukraine,UA,14,Russian,0.975,Russian,0.930,Ukrainian,0.251,0.306,0.975,0.004,0.001,0.002,0.000,0.001,0.001,0.001,0.000,0.007,0.001,0.000,0.006,0.001,0.030,0.001,0.007,0.054,0.930,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.007,0.001,0.000,0.000,0.001,0.658,0.251,0.045,0.002,0.001,0.000,0.006,0.001,0.000,0.030,0.001,0.005,159650,72360,87290,0.997,0.997,0.996,Yes,Medium,
Simferopol raion,804001003,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.942,Russian,0.677,Russian,0.265,0.356,0.942,0.004,0.001,0.001,0.000,0.000,0.003,0.000,0.000,0.215,0.003,0.000,0.002,0.001,0.007,0.000,0.016,0.095,0.677,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.215,0.003,0.000,0.000,0.004,0.450,0.261,0.265,0.001,0.000,0.000,0.002,0.001,0.000,0.007,0.000,0.013,150400,71340,79060,0.998,0.998,0.998,Yes,Medium,
Yalta municipality,804001004,The Autonomous Republic of Crimea,804001,Ukraine,UA,14,Russian,0.960,Russian,0.867,Ukrainian,0.296,0.405,0.960,0.005,0.002,0.003,0.000,0.001,0.002,0.002,0.000,0.013,0.001,0.000,0.011,0.002,0.050,0.002,0.011,0.109,0.867,0.002,0.000,0.001,0.002,0.002,0.000,0.000,0.013,0.001,0.000,0.000,0.003,0.532,0.296,0.093,0.003,0.001,0.001,0.011,0.002,0.000,0.050,0.002,0.008,147540,66790,80750,0.999,1.000,0.999,Yes,Medium,
Yevpatoria municipality,804001005,The Autonomous Republic of Crimea,804001,Ukraine,UA,13,Russian,0.955,Russian,0.840,Ukrainian,0.300,0.390,0.955,0.004,0.001,0.003,0.000,0.002,0.003,0.000,0.000,0.059,0.001,0.000,0.010,0.001,0.034,0.001,0.012,0.091,0.840,0.002,0.000,0.002,0.003,0.000,0.000,0.000,0.059,0.001,0.000,0.000,0.003,0.526,0.300,0.115,0.002,0.001,0.000,0.010,0.001,0.000,0.034,0.001,0.009,121970,54660,67310,0.999,0.999,0.999,Yes,Medium,
Feodosiya municipality,804001006,The Autonomous Republic of Crimea,804001,Ukraine,UA,13,Russian,0.959,Russian,0.874,Ukrainian,0.277,0.349,0.959,0.006,0.001,0.003,0.000,0.001,0.002,0.000,0.000,0.043,0.001,0.000,0.006,0.001,0.035,0.003,0.010,0.072,0.874,0.003,0.001,0.001,0.002,0.000,0.000,0.000,0.043,0.001,0.000,0.000,0.003,0.582,0.277,0.085,0.003,0.001,0.000,0.006,0.001,0.000,0.035,0.003,0.007,109660,49810,59850,0.998,0.999,0.997,Yes,Medium,
Krasnohvardiiske raion,804001007,The Autonomous Republic of Crimea,804001,Ukraine,UA,13,Russian,0.937,Russian,0.701,Ukrainian,0.256,0.375,0.937,0.005,0.001,0.002,0.000,0.000,0.001,0.001,0.000,0.157,0.009,0.002,0.002,0.001,0.005,0.000,0.017,0.119,0.701,0.003,0.001,0.000,0.001,0.001,0.000,0.000,0.157,0.009,0.000,0.002,0.005,0.486,0.256,0.236,0.002,0.000,0.000,0.002,0.001,0.000,0.005,0.000,0.012,95090,44480,50610,0.998,0.999,0.997,Yes,Medium,
Bakhchysaray raion,804001008,The Autonomous Republic of Crimea,804001,Ukraine,UA,13,Russian,0.949,Russian,0.680,Russian,0.268,0.337,0.949,0.004,0.001,0.002,0.000,0.002,0.001,0.000,0.000,0.205,0.017,0.000,0.004,0.001,0.011,0.001,0.016,0.087,0.680,0.002,0.001,0.002,0.001,0.000,0.000,0.000,0.205,0.017,0.000,0.000,0.004,0.451,0.250,0.268,0.002,0.000,0.000,0.004,0.001,0.000,0.011,0.001,0.012,93420,43570,49850,0.991,0.995,0.987,Yes,Medium,
Dzhankoy raion,804001009,The Autonomous Republic of Crimea,804001,Ukraine,UA,11,Russian,0.940,Russian,0.614,Russian,0.325,0.442,0.940,0.005,0.001,0.003,0.000,0.001,0.000,0.000,0.000,0.210,0.003,0.001,0.003,0.000,0.003,0.000,0.027,0.158,0.614,0.003,0.000,0.001,0.000,0.000,0.001,0.000,0.210,0.003,0.000,0.001,0.009,0.364,0.284,0.325,0.002,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.018,83250,39150,44100,0.993,0.996,0.990,Yes,Medium,
